Nom,Sous-type,Commune,Code postal,Département,Région,Latitude,Longitude,Site internet
Le Coucouri,Restauration,Saillans,26340,Drôme,Auvergne-Rhône-Alpes,44.696705,5.19757,
Restaurant le Cafuron,Restauration,La Fouillouse,42480,Loire,Auvergne-Rhône-Alpes,45.523404,4.291089,https://www.auxdomaines.fr/
Las Catrinas,Restauration,Crest,26400,Drôme,Auvergne-Rhône-Alpes,44.729,5.026146,https://www.las-catrinas.fr/
No'Limits Street Food,Restauration,Monistrol-sur-Loire,43120,Haute-Loire,Auvergne-Rhône-Alpes,45.288803,4.165841,https://nolimits-streetfood.fr/index.html
Parc technologique de la Porte des Alpes,Site culturel,Saint-Priest,69800,Rhône,Auvergne-Rhône-Alpes,45.714443,4.931336,
La Camargue,Restauration,Bas-en-Basset,43210,Haute-Loire,Auvergne-Rhône-Alpes,45.295292,4.119245,http://www.restaurant-la-camargue.fr/
Le Chemin des Peintres,"Site sportif, récréatif et de loisirs",Saint-Jean-Saint-Maurice-sur-Loire,42155,Loire,Auvergne-Rhône-Alpes,45.968667,3.997396,https://www.les-amis-42155.com/
Le jardin de Ma Vie O l’Être,Fournisseur de dégustation,Gillonnay,38260,Isère,Auvergne-Rhône-Alpes,45.406702,5.283006,
Sun7 chemin,Restauration,Orliénas,69530,Rhône,Auvergne-Rhône-Alpes,45.653338,4.749698,https://sun7-chemin.fr/
Espace détente - Stade nautique Pierre-de-Coubertin,"Site sportif, récréatif et de loisirs",Clermont-Ferrand,63000,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.768596,3.083862,https://www.clermontmetropole.eu/bouger-se-divertir/lexcellence-sportive/piscines/une-piscine-pour-profiter-dun-moment-bien-etre/
Explor Games / Le dernier signal,"Site sportif, récréatif et de loisirs",Le Sappey-en-Chartreuse,38700,Isère,Auvergne-Rhône-Alpes,45.255315,5.779455,http://www.chartreuse-aventure.fr/
L’Orée des Sources,Hébergement,Volvic,63530,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.870175,3.031266,https://www.loree-des-sources.com/
Espace détente - Centre aquatique Les Hautes-Roches,"Site sportif, récréatif et de loisirs",Chamalières,63400,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.768596,3.083862,https://www.clermontmetropole.eu/bouger-se-divertir/lexcellence-sportive/piscines/une-piscine-pour-profiter-dun-moment-bien-etre/
"Jeu de piste numérique ""Marie-Pelline et le mystère de la mélodie"" avec Baludik","Site sportif, récréatif et de loisirs",Chabeuil,26120,Drôme,Auvergne-Rhône-Alpes,44.899802,5.019386,
Hôtel La Montagne,Hébergement,La Clusaz,74220,Haute-Savoie,Auvergne-Rhône-Alpes,45.906405,6.427077,
ASM Pomier - Espace de réception et de travail,"Location,Site sportif, récréatif et de loisirs",Présilly,74160,Haute-Savoie,Auvergne-Rhône-Alpes,46.081389,6.106081,
GAEC Le Plâne,Fournisseur de dégustation,Saint-André-de-Boëge,74420,Haute-Savoie,Auvergne-Rhône-Alpes,46.193588,6.389452,http://gaec-le-plane.fr/
B&B Hôtel Moulins Avermes,Hébergement,Avermes,03000,Allier,Auvergne-Rhône-Alpes,46.590136,3.321626,https://www.hotel-bb.com/fr/hotel/moulins-avermes?
Brasserie Pizzeria Vigna - Hôtel Restaurant Garenne,Restauration,Livron-sur-Drôme,26250,Drôme,Auvergne-Rhône-Alpes,44.773911,4.857792,https://www.garenne.net/
Piste multi-activités – Espace Sport Nature La Stèle,"Site sportif, récréatif et de loisirs",La Tour-d'Auvergne,63680,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.543153,2.692521,https://lastele.fr/
Salle de séminaire à l'Hôtel Ibis,"Location,Site sportif, récréatif et de loisirs,Site d'affaires",Saint-Paul-Trois-Châteaux,26130,Drôme,Auvergne-Rhône-Alpes,44.361853,4.742058,
Verrerie de Saint Just,Site culturel,Saint-Just-Saint-Rambert,42170,Loire,Auvergne-Rhône-Alpes,45.494631,4.259369,https://www.verreriedesaintjust.fr/
Espace Muséal de l'Hospice du Petit Saint Bernard,Site culturel,Séez,73700,Savoie,Auvergne-Rhône-Alpes,45.671477,6.875575,https://www.hautetarentaise.fr/
Caveau - Château Musée,"Location,Site sportif, récréatif et de loisirs",Tournon-sur-Rhône,07300,Ardèche,Auvergne-Rhône-Alpes,45.068346,4.831753,http://www.chateaumusee-tournon.com/
Club Med La Sarenne,Hébergement,Huez,38750,Isère,Auvergne-Rhône-Alpes,45.08957,6.081174,
Lodge Skadi,Hébergement,Essert-Romand,74110,Haute-Savoie,Auvergne-Rhône-Alpes,46.201935,6.670425,https://www.ovonetwork.com/fr/chalets/france/morzine/lodge-skadi
Hôtel la Vanoise,Hébergement,Tignes,73320,Savoie,Auvergne-Rhône-Alpes,45.454661,6.900541,http://www.hotelvanoise.com/
Promenade Confort du Bourget-en-Huile,"Site sportif, récréatif et de loisirs,Itinéraire pédestre",Bourget-en-Huile,73110,Savoie,Auvergne-Rhône-Alpes,45.485919,6.205903,http://www.tourisme.coeurdesavoie.fr/
Les Amis du Quatuor Debussy,"Site sportif, récréatif et de loisirs",Lyon 4e Arrondissement,69004,Rhône,Auvergne-Rhône-Alpes,45.773713,4.821263,https://quatuordebussy.com/
Spa d’altitude Ô des Cimes – Résidence CGH Le Cristal de l'Alpe,"Site sportif, récréatif et de loisirs",Huez,38750,Isère,Auvergne-Rhône-Alpes,45.092982,6.068991,https://www.odescimes.com/fr/spas/le-cristal-de-lalpe-1024
Spa Kaire - Village Les Bergers MMV,"Site sportif, récréatif et de loisirs",Huez,38750,Isère,Auvergne-Rhône-Alpes,45.089354,6.079781,"https://kairespa.fr/,https://www.mmv.fr/hotel-club-ski-alpe-dhuez-les-bergers"
Restaurant Dame Jeanne,Restauration,Dunière-sur-Eyrieux,07360,Ardèche,Auvergne-Rhône-Alpes,44.822568,4.658938,
Spa Pure Altitude - Hôtel  Royal Ours blanc,"Site sportif, récréatif et de loisirs",Huez,38750,Isère,Auvergne-Rhône-Alpes,45.090397,6.06787,https://www.hotelroyaloursblanc.com/fr/page/spa.32.html
Spa Deep Nature - Hôtel Pic Blanc,"Site sportif, récréatif et de loisirs",Huez,38750,Isère,Auvergne-Rhône-Alpes,45.088172,6.076577,https://www.hotel-picblanc-alpes.com/
Spa Nuxe - Hôtel Au Chamois d'Or by Les Etincelles,"Site sportif, récréatif et de loisirs",Huez,38750,Isère,Auvergne-Rhône-Alpes,45.097155,6.070826,https://chamoisdor-alpedhuez.com/fr/spa-nuxe.html
