Nom,Sous-type,Commune,Code postal,Département,Région,Latitude,Longitude,Site internet
Dîner de famille,"Site sportif, récréatif et de loisirs",Grenay,62160,Pas-de-Calais,Hauts-de-France,50.452649,2.754036,https://www.ronny-coutteure.fr/
Qu'est ce qu'on va faire de Mémé - Saison Culturelle - Théâtre Monsigny,"Évènement culturel,Site sportif, récréatif et de loisirs",Boulogne-sur-Mer,62200,Pas-de-Calais,Hauts-de-France,50.72474,1.605723,https://ville-boulogne-sur-mer.notre-billetterie.fr/billets?kld=2324
Quincaillerie #1  - Cie La Rustine - Saison Culturelle - Théâtre Monsigny,"Évènement culturel,Site sportif, récréatif et de loisirs",Boulogne-sur-Mer,62200,Pas-de-Calais,Hauts-de-France,50.72474,1.605723,https://ville-boulogne-sur-mer.notre-billetterie.fr/billets?kld=2324
On Marche s/l'tête,"Site sportif, récréatif et de loisirs",Samer,62830,Pas-de-Calais,Hauts-de-France,50.639569,1.745731,
Parle moi d'amour  - Le Colisée,"Évènement culturel,Site sportif, récréatif et de loisirs",Lens,62300,Pas-de-Calais,Hauts-de-France,50.428554,2.830739,https://billetterie.villedelens.fr/spectacle?id_spectacle=949
Des Palettes Plein les Yeux,"Évènement culturel,Site sportif, récréatif et de loisirs",Longvilliers,62630,Pas-de-Calais,Hauts-de-France,50.543842,1.727261,https://www.lapalette.org/le%20festival.html
Goûter-Rencontre - Cie La Rustine - Saison Culturelle - Théâtre Monsigny,"Évènement culturel,Site sportif, récréatif et de loisirs",Boulogne-sur-Mer,62200,Pas-de-Calais,Hauts-de-France,50.72474,1.605723,https://www.ville-boulogne-sur-mer.fr/decouvrir-et-sortir/agenda-des-manifestations/tout-l-agenda/item/2837-qjsp
Projection du film « Tolkien » - Festival Images de guerre. Guerre des images,"Évènement culturel,Site sportif, récréatif et de loisirs",Souchez,62153,Pas-de-Calais,Hauts-de-France,50.385945,2.737584,https://imagesdeguerre.fr/billetterie-gratuite/
Projection du film « Le soldat méconnu : le dernier tué de 14-18 » - Festival Images de guerre. Guerre des images,"Évènement culturel,Site sportif, récréatif et de loisirs",Souchez,62153,Pas-de-Calais,Hauts-de-France,50.385945,2.737584,https://imagesdeguerre.fr/
Tournoi Beach Tennis,"Évènement culturel,Évènement sports et loisirs,Site sportif, récréatif et de loisirs",Wimereux,62930,Pas-de-Calais,Hauts-de-France,50.774542,1.609762,
Les Hurlements d'Léo - Saison Culturelle - Carré Sam,"Évènement culturel,Site sportif, récréatif et de loisirs",Boulogne-sur-Mer,62200,Pas-de-Calais,Hauts-de-France,50.735316,1.60292,https://www.ville-boulogne-sur-mer.fr/decouvrir-et-sortir/culture/theatre-et-salles-de-spectacles/joomlannuaire/fiche/114-carre-sam/37-theatre-et-salles-de-spectacles
"Spectacle ""Prof Turing""","Évènement culturel,Site sportif, récréatif et de loisirs",Carvin,62220,Pas-de-Calais,Hauts-de-France,50.492451,2.957609,
Le Porteur d'Histoire,"Évènement culturel,Site sportif, récréatif et de loisirs",Chauny,02300,Aisne,Hauts-de-France,49.62258,3.22091,http://billetterie.ville-chauny.fr/catalogue_spectacle?lng=1
Les Balades de Marianne,"Évènement culturel,Site sportif, récréatif et de loisirs",Pommiers,02200,Aisne,Hauts-de-France,49.39193,3.27574,https://pommiers.grandsiossons.com/
Jardin Public,Site culturel,Albert,80300,Somme,Hauts-de-France,50.00307,2.64655,
Terril de l'Escarpelle,Site naturel,Roost-Warendin,59286,Nord,Hauts-de-France,50.40763,3.11568,
Les étangs du Vélodrome,Site naturel,Albert,80300,Somme,Hauts-de-France,50.01477,2.65746,
Danse solo : Lymph Blood Story 9424,"Évènement culturel,Site sportif, récréatif et de loisirs",Amiens,80000,Somme,Hauts-de-France,49.89726,2.30124,http://www.amiens.fr/mta
Atelier Enluminure,"Pratique,Site sportif, récréatif et de loisirs",Crèvecœur-le-Grand,60360,Oise,Hauts-de-France,49.60859,2.07622,
L'Estaminet Saint Gilles,Restauration,Craywick,59279,Nord,Hauts-de-France,50.97091,2.23588,
Activ'Jump,"Site sportif, récréatif et de loisirs",Neuville-Saint-Amand,02100,Aisne,Hauts-de-France,49.818611,3.312169,
Empreinte végétale,"Site sportif, récréatif et de loisirs",Venette,60280,Oise,Hauts-de-France,49.41475,2.80105,
Princess Elisabeth,Restauration,Dunkerque,59140,Nord,Hauts-de-France,51.0347003,2.3704411,
Spa Avenue,"Site sportif, récréatif et de loisirs",Saint-Quentin,02100,Aisne,Hauts-de-France,49.84154,3.29205,
Cyclo-lodges,Hébergement,Picquigny,80310,Somme,Hauts-de-France,49.94703,2.14239,
